Distance (m),Elevation (m)
0,246.3421021
9.797905131,246.6103973
19.59581026,246.5535431
29.39371539,246.1663666
39.19162052,246.0311279
48.98952566,246.0821228
58.78743079,245.8952942
68.58533592,245.6539154
78.38324105,245.4775391
88.18114618,245.1855774
97.97905131,244.6048737
107.7769564,243.7656708
117.5748616,242.365097
127.3727667,241.0562286
137.1706718,239.9476166
146.968577,239.3143311
156.7664821,238.8157654
166.5643872,238.0842133
176.3622924,237.5964966
186.1601975,237.0357361
195.9581026,236.4078979
205.7560078,235.7914581
215.5539129,235.2142792
225.351818,234.8242645
235.1497231,234.2940674
244.9476283,233.736908
254.7455334,233.3802643
264.5434385,232.7731781
274.3413437,232.4258575
284.1392488,232.3248749
293.9371539,232.4412231
303.7350591,232.525589
313.5329642,232.5651398
323.3308693,232.636261
333.1287745,232.7367096
342.9266796,232.8416901
352.7245847,233.0321198
362.5224899,232.9655762
372.320395,232.7137451
382.1183001,232.3448334
391.9162052,232.0488892
401.7141104,231.5566101
411.5120155,230.994873
421.3099206,230.2888336
431.1078258,229.9976959
440.9057309,229.7134094
450.703636,229.2223663
460.5015412,228.070282
470.2994463,227.0893555
480.0973514,225.9720001
489.8952566,224.5918884
499.6931617,224.0676422
509.4910668,224.1701813
519.2889719,224.1859283
529.0868771,224.1762848
538.8847822,224.294754
548.6826873,224.1145935
558.4805925,223.944458
568.2784976,224.1552887
578.0764027,224.3856812
587.8743079,224.5805664
597.672213,225.3179474
607.4701181,227.0656128
617.2680233,229.3738708
627.0659284,230.8955688
636.8638335,231.4160614
646.6617387,231.2297974
656.4596438,230.1954498
666.2575489,227.3088989
676.055454,224.4757538
685.8533592,224.1498413
695.6512643,224.6327972
705.4491694,224.157547
715.2470746,223.5809021
725.0449797,223.0150604
734.8428848,222.6944733
744.64079,221.9810944
754.4386951,221.2497253
764.2366002,220.9525452
774.0345054,220.486084
783.8324105,219.9005127
793.6303156,218.9900055
803.4282207,218.0001526
813.2261259,216.9569702
823.024031,216.4038696
832.8219361,215.9930267
842.6198413,215.4600677
852.4177464,214.9037323
862.2156515,214.2353058
872.0135567,213.7678528
881.8114618,212.8596191
891.6093669,211.7843628
901.4072721,211.1388245
911.2051772,210.6968842
921.0030823,210.0290985
930.8009875,209.0820007
940.5988926,208.4597473
950.3967977,208.0727081
960.1947028,207.5621948
969.992608,206.6670532
979.7905131,205.6586914
989.5884182,205.2194519
999.3863234,204.6956329
1009.184229,203.7445374
1018.982134,202.9086456
1028.780039,202.2182159
1038.577944,201.8621826
1048.375849,201.3451691
1058.173754,200.6726379
1067.971659,200.2248383
1077.769564,199.4925385
1087.56747,198.7164459
1097.365375,198.5868073
1107.16328,198.1550903
1116.961185,197.4584351
1126.75909,196.8741608
1136.556995,195.9803467
1146.3549,195.3187714
1156.152805,195.2075958
1165.950711,193.9008331
